Sl.no,Process Variable,Stock preparation,Refining,Wet end,Press,Drying,Others,Quality,Cost,Production
1,Machine Speed | DRV39,,,1,1,1,,1,1,1
2,Production Rate TPH,1,,1,1,1,,,1,1
3,Now BW | FR1_BW1_CURV:ROUT,,,,,,1,1,,
,,,,,,,,,,
4,3rd Dryer Section Pressure Control | PIC-2367-120,,,,,1,,,1,1
5,TAPPI Drying Rate-32 Cans,,,,,1,,,,1
,,,,,,,,,,
6,Stock Storage Tower Level Indication | LI-2180-101,1,,,,,,,,1
7,Stock Production | TPH (TPH),1,,,,,,,,1
8,Primary Coarse Screen Accepts Flow Control | FFIC-2024-112,1,,,,,,,,1
9,Secondary Coarse Screen Accepts Flow | FI-2017-203B,1,,,,,,,,1
,,,,,,,,,,
10,SEC For Refiners (New),,1,,,,,1,,1
11,Refiner recirc %,,1,,,,,1,,1
12,Refiner No.1 kW/hr | JIC-2123-211,,1,,,,,,1,
13,Refiner No.2 kW/hr | JIC-2123-221,,1,,,,,,1,
14,Refiners #1 Outlet Flow Control PV | FFIC-2123-242,,1,,,,,1,,
15,Refiners #2 Outlet Flow Control PV | FFIC-2123-243,,1,,,,,1,,
,,,,,,,,,,
16,QCS | RCT | Avg,,,,,,1,1,,
17,QCS | Bone Dry Last Scan | Avg (lbs/msf),,,,,,1,1,,
18,Rush Drag Current | HBVOITH1:RDCR,,,1,,,,1,,
19,Wet Suction Box No.1 Sep Outlet Pressure Control Valve | PIC-2166-204B,,,1,,,,1,,
,,,,,,,,,,
20,QCS | CONCORA | Avg,,,,,,1,1,,
21,Headbox Stilling Chamber Pressure Indication | PI-2362-430,,,1,,,,1,,
22,Average Headbox Differential Pressure Indication | PDI-2362-440 (psi ),,,1,,,1,1,,
23,PM Dilution Screen Accepts Pressure Indication | PI-2123-102,,,1,,,,1,,
24,Suction Pick Up Roll-Holding Zones Pres Ctrl | PIC-2365-490,,,,1,,,1,,
25,Second Press Draw (fpm),,,,1,,,1,,
,,,,,,,,,,
26,Rejects Collection  Tank Level  Control  | LIC-2017-507,1,,,,,1,,1,
27,Mill Basin Level Indication | LI-2005-501 (%),,,,,,1,,1,
28,Average Clear Water Storage Tank Overflow Flow  Control | FIC-2035-702,,,,,,1,,1,
29,Effluent Clarifier Inlet  Flow Control | FIC-2005-504,,,,,,1,,1,
30,MSD Effluent Discharge East | FI-3072 (gpm),,,,,,1,,1,1
,,,,,,,,,,
,,,,,,,,,,
31,Headbox Static Head Control | PIC-2362-407,,,1,,,,1,,
32,Headbox Dilution Distribution Pipe Pressure Indication | PI-2362-431,,,1,,,,1,,
33,Headbox Flow | HBVOITH1:QTOT,,,1,,,,1,,1
34,Dilution Header Flow Ratio Control | FFIC-2362-406,,,1,,,,1,,
,,,,,,,,,,
35,Uhle box total flow,,,,1,,,,,1
36,Pickup felt Uhle flow,,,,1,,,,,1
37,2nd Top Felt Uhle Box Flow | FI-2336-131,,,,1,,,,,1
38,Uhle box Collection Tank Compartment #3 Level indication,,,,1,,,,,1
39,2nd Press Nip Dewatering,,,,1,,,,,1
,,,,,,,,,,
,,,,,,,,,,
40,QCS | TSI MD/CD AL | Avg,,,,,,1,1,,
41,Step Foil Box No.3 Sep Outlet Press Control | PIC-2166-214B,,,1,,,,1,,
42,First Press Draw % (%),,,,1,,,1,,
43,After Dryer Draw % (%),,,,,1,,1,,
44,QCS | SCT | Avg,,,,,,1,1,,
,,,,,,,,,,
45,steam per ton,,,,,1,,,,1
46,Tertiary Fine Screen Dilution Flow Transmitter  | FIC-2017-543,1,,,,,,,1,
47,Dual Zone Wet Suction Box No.1 Separator Outlet Pressure Control MV | PIC-2032-612 MV (%),,,1,,,,,1,
48,Refiner No.1 Outlet Pressure Indication | PI-2018-202A (psi),,1,,,,,,1,
49,First Press Draw (fpm),,,,1,,,,1,
50,Heat Recovery P.V. Fan No.2 Steam Coils Inlet Temperature Control | TIC-8075-201,,,,,1,,,1,
51,Refiner No.1 Inlet Pressure Indication | PI-2123-228 (psi),,1,,,,,,1,
52,Second Section Draw (fpm),,,,,1,,,1,
,,,,,,,,,,
53,Quaternary Forward Cleaners Rejects Flow Indication | FI-2118-209 (gpm),,,1,,,,,1,
54,Primary Reverse Flow Cleaners Flow Indication | FI-2022-111 (gpm),1,,,,,,,1,
55,PM Excess WW Chest Level Indication | LI-2118-201 (%),1,,,,,,,1,
56,Spill Containment Tank Level Control | LIC-2021-207,1,,,,,,,1,
57,Vacuum Sump Pit Level Control   | LIC-2336-103,,,1,,,,,1,
58,Canal Water Collection Tank Temperature Indiction | TI-2035-606 (deg F),,,,,,1,,1,
59,Atlas Copco Air Compressor Inlet Flow Transmitter | FI-8033-112 (gpm),,,,,,1,,1,
60,Cooling Filtrate Water Pressure Control | PIC-6928-101,,,,,,1,,1,
61,Deculator Pressure Indication | PI-2118-206 (inHg),,,1,,,,,1,
62,IR Compressor Cooling Water Flow Indication | FI-8033-107 (gpm),,,,,,1,,1,
63,Tertiary Fine Screen Rejects Flow Control  | FFIC-2017-403A (gpm),1,,,,,,,1,
,,,,,,,,,,
64,Refiner Outlet Freeness | AIC-2123-230 (CSF),,1,,,,,,,1
,,,,,,,,,,
65,Concora Predicted-Raw,,,,,,1,1,,
66,RCT Predicted,,,,,,1,1,,